name,counta,money,totalPerformances,type,theatre
In The Next Room Or The Vibrator Play,12,2129999,60,Play,Lyceum
Indiscretions,1,280896,8,Play,Ethel Barrymore
Inherit The Wind 07,16,6805286,100,Play,Lyceum
Into The Woods '02,38,14731618,279,Musical,Broadhurst
Irena'S Vow,16,3070112,105,Play,Walter Kerr
Irving Berlin'S White Christmas,8,9354235,53,Musical,Marquis
Irving Berlin'S White Christmas '09,8,6872694,51,Musical,Marquis
Is He Dead?,16,2882050,105,Play,Lyceum
It Ain'T Nothin' But The Blues,37,6752894,284,Musical,Vivian Beaumont
It Shoulda Been You,21,7881052,135,Musical,Brooks Atkinson
It'S A Slippery Slope,11,410047,17,Special,Vivian Beaumont
It'S Only A Play,41,37500966,274,Play,Schoenfeld
Ivanov,11,2953109,51,Play,Vivian Beaumont
Jackie Mason:  Freshly Squeezed,26,2964688,172,Play,Helen Hayes
Jackie Mason:  Politically Incorrect,1,57491,7,Play,Golden
Jackie Mason: Much Ado About Everything,37,5303427,186,Play,Golden
Jackie Mason'S Laughing Room Only,6,1015629,14,Musical,Brooks Atkinson
Jackie: An American Life,21,2261732,128,Play,Belasco
James Joyce'S The Dead,18,4376057,120,Musical,Belasco
Jane Eyre,31,8083185,209,Musical,Brooks Atkinson
Jay Johnson: The Two And Only,10,587011,70,Play,Helen Hayes
Jekyll & Hyde,199,78056883,1543,Musical,Plymouth
Jekyll & Hyde '13,6,2470240,30,Musical,Marquis
Jerry Seinfeld,1,774652,10,Special,Broadhurst
Jersey Boys,565,538533258,4466,Musical,Virginia
Jerusalem,21,8004618,141,Play,Music Box
Jesus Christ Superstar,24,11284435,161,Musical,Ford Center (Tcn)
Jesus Christ Superstar '12,18,10882991,116,Musical,Neil Simon
Joe Turner'S Come And Gone '09,13,3022226,69,Play,Belasco
Journey'S End,18,2514849,125,Play,Belasco
Juan Darien,9,1187129,49,Musical,Vivian Beaumont
Judgment At Nuremberg,13,2025590,56,Play,Longacre
Julius Caesar,14,8543103,81,Play,Belasco
Jumpers,14,3957158,89,Play,Brooks Atkinson
Kat And The Kings,22,3418286,157,Musical,Cort
Kathy Griffin Wants A Tony,2,1021880,10,Special,Belasco
Kiki & Herb: Alive On Broadway,5,619680,27,Musical,Helen Hayes
King Charles Iii,17,9411612,103,Play,Music Box
King David,2,677313,6,Special,New Amsterdam
King Hedley Ii,12,2479599,72,Play,Virginia
King Lear,10,2832254,33,Play,Vivian Beaumont
Kinky Boots,181,204828647,1402,Musical,Al Hirschfeld
"Kiss Me, Kate",114,65051743,882,Musical,Martin Beck
Kiss Of The Spider Woman,1,186660,8,Musical,Broadhurst
La Bete '10,16,4382858,101,Play,Music Box
La Boh�me,31,20773921,228,Musical,Broadway
La Cage Aux Folles '04,33,16381491,229,Musical,Marquis
La Cage Aux Folles '10,56,29057813,433,Musical,Longacre
Lady Day At Emerson'S Bar & Grill,27,14085440,173,Play,Circle In The Square
Latinologues,16,1104272,93,Play,Helen Hayes
Laugh Whore,12,1828501,66,Play,Cort
Leap Of Faith,6,1343840,19,Musical,St. James
Legally Blonde,79,56338126,595,Musical,Palace
Lend Me A Tenor '10,23,8249462,153,Play,Music Box
Lennon,12,3596685,49,Musical,Broadhurst
Les Liaisons Dangereuses 08,13,3161855,77,Play,American Airlines
